Frame_Num,Time_Stamp,Real_Speed,Belt_Speed,Kalman_X_Pos,Kalman_Y_Pos
35,1528479745.070938,0.3654981983255025,0.26,0.0025286809976330944,-0.0057350127883562365
36,1528479745.074936,0.3652658738262621,0.26,0.0029274593068852224,-0.005754679217154767
37,1528479745.078944,0.36503295355212495,0.26,0.003327260246582117,-0.005774396078708446
38,1528479745.082942,0.3648006151976543,0.26,0.0037260623379376124,-0.005794063680361747
39,1528479745.086945,0.36456798588335043,0.26,0.004125363853463807,-0.005813755911965238
40,1528479745.090949,0.3643353011481259,0.26,0.004524760497403468,-0.005833452834987812
41,1528479745.094947,0.3641029627936553,0.26,0.004923562588758964,-0.005853120436641113
42,1528479745.098949,0.3638704027555022,0.26,0.005322745193768325,-0.005872806803970749
43,1528479745.102947,0.3636380644010315,0.26,0.00572154728512382,-0.005892474405624051
44,1528479745.106975,0.3634039802875614,0.26,0.006123345921503515,-0.005912289786978486
45,1528479745.110959,0.3631724593916699,0.26,0.006520744868760376,-0.005931888190200304
46,1528479745.114954,0.36294030115519127,0.26,0.006919237792772105,-0.005951540544741583
47,1528479745.118974,0.3627066881195464,0.26,0.007320227837637332,-0.005971316049033808
48,1528479745.122971,0.3624744051859964,0.26,0.007718934800579361,-0.005990978959268025
49,1528479745.126955,0.3622428842901049,0.26,0.008116333747836223,-0.006010577362489843
50,1528479745.130955,0.36201043509379305,0.26,0.008515326096018652,-0.006030254346981312
51,1528479745.134958,0.36119055405115363,0.26,0.00880545059560007,-0.005972785065283492
52,1528479745.138962,0.360275309586836,0.26,0.00907795134323019,-0.005902797549633339
53,1528479745.142962,0.35936099159363266,0.26,0.00935017624754069,-0.0058328808799856914
54,1528479745.146962,0.35844667360042926,0.26,0.009622401151851189,-0.005762964210338044
55,1528479745.150964,0.35753186512251833,0.26,0.00989477209086031,-0.005693010033983187
56,1528479745.154965,0.3566173291361116,0.26,0.010167061899481309,-0.005623076694687892
57,1528479745.158972,0.35570137619388303,0.26,0.010439773586120549,-0.005553035002682883
58,1528479745.162968,0.35478798467179395,0.26,0.010711722647111427,-0.005483189179037739
59,1528479745.166965,0.3538743206582007,0.26,0.01098375283849043,-0.005413322518333035
60,1528479745.170969,0.352959076193883,0.26,0.011256253586120549,-0.005343335002682883
61,1528479745.17498,0.35204225127884103,0.26,0.011529224890001787,-0.005273226632087283
62,1528479745.178973,0.35112951373636203,0.26,0.011800979238061168,-0.0052034308173850834
63,1528479745.182967,0.35021655820067965,0.26,0.012072798490431049,-0.005133618333035235
64,1528479745.186975,0.3493003872652477,0.26,0.012345575081380789,-0.005063559971382579
65,1528479745.190974,0.34838628726524773,0.26,0.012617735081380789,-0.0049936599713825795
66,1528479745.194974,0.3474719692720444,0.26,0.012889959985691288,-0.004923743301734931
67,1528479745.198978,0.3464708006756514,0.26,0.01313882762982929,-0.00484749814195867
68,1528479745.202972,0.34513672136567836,0.26,0.013294818400718778,-0.004747016244384546
69,1528479745.206968,0.34380192532255166,0.26,0.013450892977538185,-0.004646480362982929
70,1528479745.210978,0.34246251033243486,0.26,0.01360750763701707,-0.004545596585804133
